Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,16/02/2018 09:06:48,112641080,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633267,56300000,26.87005769,56300000,56300000,113000000,56300000,26.87005769,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,26.87005769,56300000,56300000,Benign
0,0,16/02/2018 09:09:37,112641107,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633261,56300000,27.57716447,56300000,56300000,113000000,56300000,27.57716447,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,27.57716447,56300000,56300000,Benign
0,0,16/02/2018 09:12:26,112641162,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633248,56300000,118.7939392,56300000,56300000,113000000,56300000,118.7939392,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,118.7939392,56300000,56300000,Benign
35605,6,16/02/2018 08:34:20,54051783,141,160,11888,4288,544,64,84.31205674,52.26322591,64,0,26.8,31.67380919,299.2685736,5.568733968,180172.61,940706.0741,13000000,5,54000000,385779.3,1371221.616,13100000,27,54000000,339457.1132,1273715.741,13000000,5,1,0,0,0,2820,3200,2.608609599,2.960124368,0,544,53.77483444,51.22838864,2624.347803,0,1,0,0,1,0,0,0,1,53.95348837,84.31205674,26.8,0,0,0,0,0,0,141,11888,160,4288,255,253,140,20,8797953,7912940.1,17100000,1400316,8495075.333,3971634.455,13000000,5395139,Benign
0,0,16/02/2018 09:15:15,112641202,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633239,56300000,77.78174593,56300000,56300000,113000000,56300000,77.78174593,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,77.78174593,56300000,56300000,Benign
0,0,16/02/2018 09:18:04,112641133,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633255,56300000,38.89087297,56300000,56300000,113000000,56300000,38.89087297,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,38.89087297,56300000,56300000,Benign
22,6,16/02/2018 09:22:07,3637974,14,12,1239,2273,744,0,88.5,202.3974574,976,0,189.4166667,347.6425694,965.3724848,7.146835024,145518.96,191869.9679,719736,12,3637974,279844.1538,193407.4071,719736,179,3333691,303062.8182,328467.3821,1064035,75,0,0,0,0,456,392,3.848295782,3.298539242,0,976,130.0740741,273.5328592,74820.22507,0,0,0,1,0,0,0,0,0,135.0769231,88.5,189.4166667,0,0,0,0,0,0,14,1239,12,2273,14600,233,7,32,0,0,0,0,0,0,0,0,Benign
0,0,16/02/2018 09:20:53,112641202,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633239,56300000,159.8061325,56300000,56300000,113000000,56300000,159.8061325,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,159.8061325,56300000,56300000,Benign
0,0,16/02/2018 09:23:42,112639332,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633681,56300000,258.8010819,56300000,56300000,113000000,56300000,258.8010819,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,258.8010819,56300000,56300000,Benign
0,0,16/02/2018 09:26:31,112639428,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633658,56300000,82.02438662,56300000,56300000,113000000,56300000,82.02438662,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,82.02438662,56300000,56300000,Benign
